App ID,App Name,Category,Rating,Number of Reviews,Installs,Size (MB),Price (USD),Content Rating,Type,Developer Name,Last Updated,Android Version,Current Version,In-App Purchases,Ad Supported,App Revenue (USD),User Engagement Score
app72022,App_7473,Shopping,2.9,262284,6166886,486.61,17.29,Mature 17+,Paid,Developer C,2024-09-01,6.0 and up,6.3,Yes,No,107466295.34,1.37
app41877,App_4787,Finance,1.8,473207,3411878,456.65,18.54,Teen,Paid,Developer F,2024-06-14,5.0 and up,1.0,No,No,63434668.89,1.17
app96303,App_1278,Finance,2.1,15377,1511134,370.67,0.0,Everyone 10+,Free,Developer G,2024-03-20,9.0 and up,6.3,Yes,No,719346.15,2.77
app22897,App_7200,Social,2.1,444147,5022956,432.78,0.0,Teen,Free,Developer G,2024-11-29,5.0 and up,2.5,Yes,Yes,3377780.18,1.4
app22321,App_4348,Shopping,3.5,131627,2794526,203.03,10.7,Everyone,Paid,Developer J,2024-09-17,5.0 and up,1.0,No,Yes,29902652.47,5.86
app14733,App_5107,Music,2.6,333426,4594211,60.02,6.67,Teen,Paid,Developer E,2024-01-27,8.0 and up,3.2,Yes,Yes,31289539.62,7.58
app49744,App_4507,Productivity,2.8,328312,6994715,32.56,0.0,Everyone 10+,Free,Developer I,2024-10-13,7.0 and up,2.5,No,No,1448232.23,1.67
app18127,App_4934,Education,4.9,426692,9719943,408.77,18.17,Everyone,Paid,Developer J,2024-04-12,4.1 and up,3.2,No,No,177883516.38,3.39
app79506,App_5487,Travel,2.5,391158,3188532,135.86,17.48,Everyone,Paid,Developer E,2024-07-17,10.0 and up,2.5,Yes,No,55815744.72,9.07
app47380,App_6803,Photography,3.8,461573,2128527,25.94,19.18,Everyone,Paid,Developer E,2024-02-12,5.0 and up,3.2,Yes,Yes,41357829.3,7.35
app80182,App_5836,Photography,2.5,231639,387680,39.71,0.0,Everyone 10+,Free,Developer H,2024-11-19,6.0 and up,1.0,Yes,Yes,38596.42,4.15
app77701,App_8386,Music,1.0,271033,9733280,426.46,17.8,Teen,Paid,Developer H,2024-06-15,7.0 and up,4.0,Yes,No,173660594.28,9.69
app56730,App_9876,Music,4.9,447809,569414,240.93,0.0,Mature 17+,Free,Developer H,2024-10-27,6.0 and up,4.0,Yes,No,138285.8,7.14
app32916,App_9120,Social,5.0,496586,673446,351.99,0.0,Everyone,Free,Developer F,2024-11-12,8.0 and up,6.3,Yes,No,634248.11,8.96
app65008,App_4955,Game,1.2,261390,2274372,173.06,0.0,Mature 17+,Free,Developer E,2024-01-04,6.0 and up,6.3,No,No,1021955.72,3.74
app95841,App_5267,Shopping,2.4,374403,2726471,176.2,0.0,Everyone,Free,Developer F,2024-10-13,4.1 and up,2.5,No,Yes,231748.33,6.47
app61589,App_8396,Productivity,4.8,432319,9014483,55.2,0.0,Teen,Free,Developer C,2024-05-11,4.1 and up,3.2,Yes,No,2619836.75,6.3
app64487,App_1642,Travel,3.2,141844,3023960,418.85,6.04,Everyone,Paid,Developer A,2024-01-06,7.0 and up,1.0,Yes,No,18276802.67,4.87
app10410,App_5121,Game,4.4,412197,9639488,278.98,0.43,Mature 17+,Paid,Developer B,2024-04-02,7.0 and up,6.3,Yes,Yes,5133948.73,2.44
app23789,App_5562,Finance,2.9,314501,5441081,277.57,2.96,Teen,Paid,Developer G,2024-11-14,10.0 and up,3.2,No,No,16855174.99,7.54
app42183,App_2485,Finance,2.9,450205,4639961,422.86,1.39,Teen,Paid,Developer I,2024-03-18,8.0 and up,6.3,No,Yes,8086585.61,6.28
app92320,App_4020,Health & Fitness,3.5,13303,4726395,118.26,0.0,Everyone 10+,Free,Developer E,2024-07-13,5.0 and up,2.5,No,Yes,93372.68,8.52
app54528,App_2790,Game,3.2,16623,2908576,173.51,19.18,Everyone 10+,Paid,Developer D,2024-09-11,6.0 and up,6.3,Yes,Yes,56846062.02,3.86
app79587,App_1160,Photography,1.3,415879,229697,450.12,1.09,Teen,Paid,Developer I,2024-11-14,7.0 and up,2.5,No,Yes,253362.08,9.07
app68018,App_9150,Game,2.7,176966,3550585,219.61,19.33,Everyone 10+,Paid,Developer J,2024-06-06,4.1 and up,5.1,No,No,69281514.5,1.63
app15995,App_9854,Music,1.4,182902,8377673,314.0,10.45,Everyone 10+,Paid,Developer D,2024-01-22,5.0 and up,6.3,Yes,No,94345682.83,9.79
app57674,App_7440,Health & Fitness,4.1,231876,4287192,204.6,0.0,Everyone 10+,Free,Developer C,2024-04-29,9.0 and up,1.0,No,No,2471294.89,6.13
app29442,App_5574,Finance,3.5,80148,4180389,401.19,0.0,Everyone,Free,Developer F,2024-06-30,6.0 and up,4.0,Yes,No,1208975.71,6.36
app95846,App_1030,Health & Fitness,4.1,284882,873189,296.25,0.0,Everyone 10+,Free,Developer C,2024-01-22,6.0 and up,4.0,Yes,No,6943.6,9.8
app66715,App_3938,Game,5.0,371566,1317621,354.86,16.25,Everyone,Paid,Developer F,2024-06-02,5.0 and up,3.2,No,No,21926945.73,4.14
app59552,App_1994,Social,4.9,240544,8311619,408.66,0.0,Everyone 10+,Free,Developer B,2024-08-11,8.0 and up,3.2,Yes,Yes,0.0,5.52
app32077,App_7801,Education,3.7,94580,7236051,33.32,10.27,Everyone 10+,Paid,Developer D,2024-11-10,10.0 and up,3.2,Yes,Yes,75019096.0,9.13
app75479,App_9282,Shopping,2.1,401381,9754065,441.31,0.0,Mature 17+,Free,Developer G,2024-03-18,10.0 and up,7.4,No,No,279998.59,5.39
app13469,App_2355,Education,1.7,273063,277604,84.46,0.0,Teen,Free,Developer J,2024-08-18,10.0 and up,6.3,No,No,62610.75,3.77
